Sr.No,Hospital Name,Address,City,State,Pin Code
1,Visakha Eye Hospital,"8-1-64,Pedda Waltair",Visakhapatnam,Andhra Pradesh,530017
2,Annapoorna Hospital,"47-9-32, Dwarakanagar, Near Diamond Park,",Visakhapatnam,Andhra Pradesh,530016
3,"Apollo Hospitals, Chittoor","Aragonda Village, Thavanampalli Mandal",Chittoor,Andhra Pradesh,517129
4,BHARATHI HOSPITAL.,"1/82, Gandhi Nagar , R.S.Road Y.M.Palli",Kadapa,Andhra Pradesh,516004
5,JAYABHARAT HOSPITAL,"16/2884 Somasekharapuram, Nellore",Nellore,Andhra Pradesh,524003
6,RUSSH HOSPITAL(P) LTD,"10-14-576/6, 1St Street, Reddy And Reddy Colony, Chittoor",Tirupati,Andhra Pradesh,517501
7,Royal Hospital-Rajahmundry,"20-23-4,Aryapuram, Gokavaram Bus Stand, Behind Nagadevi",Rajahmundry,Andhra Pradesh,533104
8,Sree Ramadevi Multy Super Speciality Hospital,"T.S. 82, Sai Ram Street, Tirupathi, Opp. Bhavani Nagar Bus Stop",Tirupati,Andhra Pradesh,517564
9,ASWINI Nethralayam - Guntur,"Guntur Road, Narasaraopet",Guntur,Andhra Pradesh,522601
10,Narayana General Hospital,Chithareddy Palem.,Nellore,Andhra Pradesh,524002
11,SINDHURA NURSING HOME - SRIKAKULAM,"New Bridge Rd Srikakulam, Day & Night Junction",Srikakulam,Andhra Pradesh,532001
12,Venkatarama Hospital,"47-7-43, Nehru Market Road, Near Diamond Park, Dwarakangar, Visakhapatnam",Visakhapatnam,Andhra Pradesh,530016
13,Siddhartha Hospital.,"34-1-20,Temple Street, Kakinada",Kakinada,Andhra Pradesh,533001
14,Mydhili Hospital - Gudur,"14/20 I.C.S Road, Gudur",Gudur,Andhra Pradesh,524101
15,Padmaja Hospital - Vishakhapatnam,"Old Gajuwaka Junction,Vishakhapatnam",Visakhapatnam,Andhra Pradesh,530026
16,Swami Super Speciality Netralayam & Skin Care Cent,"25/300 H2,Sanjeeva Nagar",Nandyal,Andhra Pradesh,518501
17,VIJAYA SUPER SPECIALITY HOSPITAL,"29-26-92A, Boyapati Vari St, Suryaraopet, Near Swathi Press, Vijayawada",Vijayawada,Andhra Pradesh,520002
18,Balaji Hospital-Kurnool,"43/19, N. R. Peta, Kurnool -518004",Kurnool,Andhra Pradesh,518004
19,Trust Hospital (A unit of sarvottam healthcare P),"3-29, Sarpavaram Junction",Kakinada,Andhra Pradesh,533005
20,Purnas Remedy Hospital,"6-7-559, Hara Rama Hara Krishna Road, Beside Fedaral Bank, Chittoor",Tirupati,Andhra Pradesh,517501
21,SURAKSHA HEALTH PARK HOSPITALS,"38-40-42/2,104 Area, Main Road, Marripalem, Opp. Lord Hanuman Temple",Visakhapatnam,Andhra Pradesh,530018
22,Medicover Hospitals-Unit Abhay. Hea. Care Pvt Ltd,"Nh- 5 Chinthareddypalem, Cross Road Opp. Children Park",Nellore,Andhra Pradesh,524002
23,Sunrise Hospital - Vijayawada,"33-25-35 Bellapu Sobhanadri Street, Suryaraopet Opp. Corporation Bank",Vijayawada,Andhra Pradesh,520002
24,Chandra Super Speciality Hospital - Anantapur,"13-2-390, Shirdi Nagar, Near Rtc Bus Stand, Next To Rtc Bus Stand",Anantapur,Andhra Pradesh,515001
25,Vijaya Care Multispeciality Hospital,"16-2-477 Srinivasa Agraharam, Near Vijayamahal Gate",Nellore,Andhra Pradesh,524002
26,Sree Srinivasa Mother & Child Hospital,"5-5-78/38, Palnadu Road, Narsaraopet, Guntur",Guntur,Andhra Pradesh,522601
27,V Cardiac & Multispeciality Hospital,"22-15-12, T.B. Road, Behind Navayuga Hotel, Tenali",Guntur,Andhra Pradesh,522201
28,Dinesh Medical Centre (A ut of Carmel Healthcare),"3-7-215/1, Bhakarapuram, Dist. Kadapa",Pulivendla,Andhra Pradesh,516390
29,Usha prime Multispeciality Hospital,"12-4-6/1, Pudimadaka Road, Beside Iob Bank, Beaind Icb Bank",Visakhapatnam,Andhra Pradesh,531001
30,Medicover Hospitals - Kurnool,"51-1E/2, 51-1E/3, And 51-1E/4, Sy.No.419/B2,
Situated At Kailur Village, Near Rtc Bus Stand",Kurnool,Andhra Pradesh,518003
31,OMEGA HOSPITALS - KURNOOL,"Plot No. 178,173, Judicial Colony, Opp; Vaartha Press, Kg Road",Kurnool,Andhra Pradesh,518003
32,Srikara Hospitals,"40-1-65 (Nh-65); Opp. Eenadu Office, Near. Benz Circle, Vijayawada",Vijayawada,Andhra Pradesh,520010
33,Kurnool Rainbow Hospitals,"69/213-K-9, Joharapuram Road, Kurnool",Kurnool,Andhra Pradesh,518002
34,Manipal Hospitals Jaipur Pvt Ltd,"Near Varadhi,Tadepalli",Vijayawada,Andhra Pradesh,522501
35,ANU INSTITUTE OF NEURO AND CARDIC SCIENCES,"3-20/14 Main Road, Enikepadu, Krishna",Vijayawada,Andhra Pradesh,521108
36,JANATHA INSTITUTE OF MEDICAL SCIENCES,"5-1/1-1 (A), Beside Jayaram Theatre, Court Centre, Ongole, Prakasam Dt, Andhra Pradesh",Ongole,Andhra Pradesh,523002
37,SURYA HOSPITAL(Pritham & Prathikhospital P.Ltd),"1/334, Maruthi Nagar, Near Rtc Bus Stand Kadappa",Kadapa,Andhra Pradesh,516004
38,Ramsaranya Hospital Pvt.Ltd,"14-37-4/A Opp Vijaya Medical Center, Visakha Patnam",Visakhapatnam,Andhra Pradesh,530002
39,Bmr Hospitals,"33-25-33B/1, Puspa Hotal Center Road, Suryaraopet, Vijayawada, Krishna",Vijayawada,Andhra Pradesh,520002
40,Down Town Hospital,"G. S. Road, Dispur",Guwahati,Assam,781006
41,Guwahati Eye Hospital - G S Road,"Opp Hanuman Mandir, Near Lachit Nagar Bus Stop
G. S. Road",Guwahati,Assam,781007
42,J.J. Memorial Diagnostics & Hospitals (P) Ltd,"Lokopriya Gopinath Bordoloi Avenue, Dibrugarh",Dibrugarh,Assam,786001
43,Lower Assam Hospital And Research Centre,"North Bongaigaon, Chapaguri Rd, Amguri",Bongaigaon,Assam,783380
44,East-End Nursing Home & Research Institue,Bamunimaidan,Guwahati,Assam,781021
45,ARYA HOSPITAL,"A.M.Road Opp Apsara Cinema, Rehabari",Guwahati,Assam,781008
46,BRAHMAPUTRA DIAGNOSTICS & HSOPITAL PVT. LTD,"Paltan Bazar, Jalan Nagar",Dibrugarh,Assam,786005
47,"CHANDRAPRABHA EYE
HOSPITAL",K K Handique Path,Jorhat,Assam,785001
48,AGILE HOSPITALS PVT. LTD.,"Jayanagar Chariali Near Iibm Sbi Branch Kamrup, Kamrup",Guwahati,Assam,781022
49,BARTHAKUR CLINIC PVT LTD HOSPITAL,"Kharghuli, Kharghuli",Guwahati,Assam,781004
50,Sanjivani Hospital - Jorhat,A T Road Tarajan Jorhat,Jorhat,Assam,785001
51,Pratiksha Hospitals,"Barbari Beshnu Nagar Vip Road, Hengrabari",Guwahati,Assam,781036
52,NEMCARE HOSPITAL,"G.S.Road,Bhangagarh",Guwahati,Assam,781005
53,Sri Sankaradeva Nethralaya,"96, Basistha Road, Kamrup, Opp. Hotel Nakshatra",Guwahati,Assam,781028
54,DISPUR POLYCLINIC & NURSING HOME - GUWAHATI,"Ganeshguri Chariali, Dispur, Guwahati",Guwahati,Assam,781006
55,Pinewood Hospital,"Subochoni Road. Tinsukia, Assam",Tinsukia,Assam,786125
56,Nalbari Maternity Hospital,"Alternative Road, Nalbari, Assam,Nalbari",Nalbari,Assam,781335
57,MARWARI HOSPITALS,"Sati Jaymati Road, Gauhati Gaushala,Athgaon, Athgaon",Guwahati,Assam,781008
58,Haibargaon Nursing Home,"Lawkhowa Road,",Nagaon,Assam,782002
59,Srimanta Sankardeva Hospital & Research Institute,"Mancotta Road Mancotta Road Assam, Dibrugarh",Dibrugarh,Assam,786001
60,North East Cancer Hospital & Research Institute,"11Th Mile, Amerigog, Jorabat, Amerigog",Guwahati,Assam,781023
61,Aruna Memorial Hospital Pvt.Ltd.,"Rajgarh Road, Bhangagarh, Guwahati-5, Bhangagarh",Guwahati,Assam,781005
62,Wintrobe Hospital,"G.N. Bordoloi Road, Ambari",Guwahati,Assam,781001
63,Sun Valley Diabetic Care & Research Centre,"G.S. Road, Near Down Town Hospital,",Guwahati,Assam,781006
64,Dr. Das Hospital & Diagnostic Centre,"Nakari, North Lakhimpur,",Lakhimpur,Assam,787001
65,"G.D. HOSPITAL & RESEARCH
CENTRE","N.H.-37, Haibargaon, P.O Hiabargaon",Nagaon,Assam,782002
66,Narayana Super Speciality Hospital - Guwahati,"Near Tularam Bafna Civil Hospital Complex, Amingaon",Guwahati,Assam,781031
67,Pragjyothi Eye Care And Research Centre Pvt Ltd,"29Th Mother Teresa Road, Hatigarh Chariali, Guwaha",Guwahati,Assam,781021
68,Midland Hospital & Research Centre,"Sreenagar, R.G. Baruah Road,",Guwahati,Assam,781005
69,Saumerpith Nursing Pvt. Ltd.,"Lilabari Road, North Lakhimpur",Lakhimpur,Assam,787001
70,Swastik Nursing Home - Tinsukia,"Nau-Pokhari Road, Adjacent To Nau-Pakhori, Park, P.O.Tinsukia",Tinsukia,Assam,786125
71,SWAGAT SUPER SPECIALITY SURGICAL INSTITUTE & NH,"Dinesh Goswami Path,Gate No-04, Maligaon, Guwahati",Guwahati,Assam,781011
72,Ayursundra Superspecialty Hospital,"Bhabananda Boro Path, Ahom Gaon, P.O. Gorchuk, Guwahati",Guwahati,Assam,781035
73,Hayat Hospital Pvt. Ltd.,"Kahilapara Road, Odalbakra, Lalganesh",Guwahati,Assam,781034
74,Health City Hospital - Guwahati,".H.-37,Koinadhara, Khanapara, Opp Bodoland Guest House,Guwahati",Guwahati,Assam,781022
75,Excelcare Hospitals,"# Pachim Baragaon, Nh-37",Guwahati,Assam,781033
76,Jeevan Jyoti Nursing Home - Tinsukia,"Parbatia, Opp.Hindi Girls High School",Tinsukia,Assam,786125
77,KGMT MULTISPECIALITY HOSPITAL,"Zoo Narengi Road, Mother Teresa Road, Opp Gitanagar Police Station",Guwahati,Assam,781024
78,GNRC LTD - Guwahati,"Gnrc Complex, Sixmile, Guwahati, G.S. Road, Six Mile",Guwahati,Assam,781022
79,GATE HOSPITAL (A UNIT OF BPBR HOSPITALS PVT LTD),"House No 122, Zoo Narengi Road, Mathgharia, Near B G Tiniali, Noonmati",Guwahati,Assam,781020
80,SPARSH HOSPITAL - Rangia,"Dag No 818 Patta No 311 Santi Lahkar Path Rangia, Station Road Rangia Ward No 2, Rangia, Dist.Kamrup",Guwahati,Assam,781354
81,M. R. M. MEMORIAL HOSPITAL,"2098/297, J.D Road, Btc",Kokrajhar,Assam,783370
82,ASG HOSPITAL PVT LTD - KAMRUP,"Amaze Plaza,Md Shah Road, Opp. Hotel Hornbill, Kamrup",Guwahati,Assam,781008
83,Seven Sisters Hospital And Research Centre,"Opposite S.P. Office, Goalpara, Bapuji Nagar",Goalpara,Assam,783121
84,Eye Doctors,"Near Abc Bus Stop Metro Near Abc Bus Stop Metro, Guwahati, Kamrup",Guwahati,Assam,781005
85,Erc Eye Care Pvt Ltd,"At Road, Sampreet Hospital, Milon Nagar, Sibsagar, Deoulia Khat",Sivasagar,Assam,785640
86,Sahyog Hospital,"40, Patliputra Colony",Patna,Bihar,800013
87,Jeevak Heart Hospital and Research Institute,"6 Doctors Colony, Kankarbagh, , East Of Rajendra Nagaroveri",Patna,Bihar,800020
88,RUBAN MEMORIAL HOSPITAL,"19, Patliputra Colony, Patna -13, Near Patliputra Golambar",Patna,Bihar,800013
89,Prashant Memorial Charitable Hospital,"Juran Chapra Road No.4,",Muzaffarpur,Bihar,842001
90,Bathua Nursing Home Pvt Ltd,Brahampura Main Road .Brahampura,Muzaffarpur,Bihar,842003
91,HEART HOSPITAL LIMITED,"B-29, Patrakar Nagar, Kankarbag",Patna,Bihar,800020
92,Arvind Hospital Pvt. Ltd.,Ashok Raj Path Near Khajanchi Road,Patna,Bihar,800004
93,Hi-Tech Emergency Hospital,"Saguna More, Bailey Road, Khagaul Road",Patna,Bihar,801503
94,Ford Hospital & Research Centre Pvt Ltd.,"Nh-30,Khemnichak.Po:New Jaganpura, Ps.Ramkrishna Nagar.Dist:Patna, Nh-30,Khemnichak",Patna,Bihar,800027
95,Rahmania Medical Centre Pvt. Ltd.,"Bariyarpur, Motihari - 845401 Bihar, East Champaran",Eastchamparan,Bihar,845401
96,"Shekhar Netralaya And Ear, Nose, Throat Hospital","Near Naka No. 6, Karamganj, Laheriasarai",Darbhanga,Bihar,846001
97,Dr. Bimal Hospital & Research Centre,"Near Saguna More, Patna, Junior D.A.V School",Patna,Bihar,801503
98,Asg Hospital Pvt Ltd - Muzaffarpur,"Hati Chowk Holding No 457D Ward No 35, Ps: Mithanpura Po: Ramana",Muzaffarpur,Bihar,842001
99,Asg Hospital Pvt Ltd - Patna,"Old R.K Avenue, Rajendra Nagar, Near Dinkar Golamber, Kankarbagh",Patna,Bihar,800004
100,Oxygen Trauma & Multispeciality Hospital,"Sanjeevani Path (Maurya Colony), Biscoman Golamber,",Patna,Bihar,800007
101,Sri Sai Lions Netralaya,"B-144 People Co-Operative Colony, Kankarbag P.O. Lohiya Nagar",Patna,Bihar,800020
102,Narayan Medical College & Hospital,"At=P.O., Jamuhar, Dist. Rohtas, Old G.T Road Jamuhar",Rohtas,Bihar,821305
103,Raj Retina & Eye Care Centre Pvt. Ltd,"H. No-25-35/12/1,Near Gandhi More, Patel Nagar",Patna,Bihar,800023
104,Netra Nidan Eye Hospital & Research Centre,"A/37, Sachivalya Colony,Kankarbagh, Infront Of Kendriya Vidyalaya Gate No-2",Patna,Bihar,800020
105,Jeevan Jyoti Hospital - Biharsharif,"Nala Road, Patel Nagar, Bihar Sharif, Dist.Nalanda",Biharsharif,Bihar,803101
106,Sri Vishudhanand Hospital,"Eidgah Road Benta, Near M.K. College Darbhanga, Darbhanga",Darbhanga,Bihar,846003
107,"Bishnupur Multispeciality
Hospital","Bishnupur, Begusarai",Begusarai,Bihar,851101
108,Mishra Multi Specialities Hospital P Ltd,"Juran Chapra, Road No. 4",Muzaffarpur,Bihar,842001
109,Anup Institute of Orthopaedics & Rehabilitation,"G 75-77, P.C. Colony, Kankarbagh, , Kankarbagh, Patna",Patna,Bihar,800020
110,S.S. Hospital - Patna,Anisabad,Patna,Bihar,800002
111,Sunethra Eye Hospital,"Shaktipuram, Ashiana Nagar, Near Ashiana Nagar Phase 2 Gate",Patna,Bihar,800025
112,Paras Global Hospital,"Vip Road, Allalpatti",Darbhanga,Bihar,846003
113,GHSPL BGLP Super Speciality Healthcare LLP,"Bansi Tokar, New Kamakhya City, New Astha Complex,",Bhagalpur,Bihar,813210
114,GHSPL Begusarai Healthcare LLP,"Shushil Nagar, Near Singhal Pokhar Thana, Nh-31, Reliance Petrol Pump",Begusarai,Bihar,851134
115,Yogmaya Devi Eye Hospital,"Building No.5, Near Alpana Market, Boring, Parithipartra Road",Patna,Bihar,800013
116,Adwita Hospital,"Dakbanglow Road West Of Mahila College,Opp Prabhat Tara English School, Opp Prabhat Tara English School",Begusarai,Bihar,851117
117,SAHYOG NURSING HOME,"Rambag Road, Line Bazar",Purnea,Bihar,854301
118,Ashoka Hospital - Muzaffarpur,"Road No.1, Juran Chapra",Muzaffarpur,Bihar,842001
119,Usha Hospital - Muzaffarpur,"Juran Chapra Road No.1, Chapra,",Muzaffarpur,Bihar,842001
120,Siddharth Multispeciality Hospital Pvt Ltd - Patna,"Road No-5,Rajendra Nagar, Patna, Bihar",Patna,Bihar,800016
121,"SIDDHARTH NURSING HOME -
Gaya","Green House, Road No 1, Siddharth Puri Colony, Manpur",Gaya,Bihar,823003
122,SARVDRISHTI EYE HOSPITAL PVT LTD,"Deepayan, Near - Ic Honda, Showroom, Rukunpura, Bailey Road Patna",Patna,Bihar,800014
123,Shekhar Eye Care & Laser Centre,"Keshari Nagar Roa, No.0, Rajeev Nagar Road No-O Keshri Nagar",Patna,Bihar,800024
124,Buddha Cancer Centre Pvt.Ltd.,"Nahar Road, Left To Nahar Chowk, Rupaspur, Bailey Road",Patna,Bihar,801503
125,Harihar Global Hospital And Resarch Center Pvt Ltd,"Road No. 09, Magadh Colony, Gaya",Gaya,Bihar,823001
126,Radiant Hospital - Katihar,"D.S College Road, Katihar",Katihar,Bihar,854105
127,Indra Seva Sansthan,"Chak Mohbhat Ahiyapur, Muzaffarpur",Muzaffarpur,Bihar,842001
128,Janak Dulari Hospital,"K-127, Hanuman Nagar, Opp. Park, Kankarbagh",Patna,Bihar,800020
129,Holy Promise Hospital,"East Payel Nagar, Near Handhi Murti",Patna,Bihar,800023
130,Curis Hospital - Patna,"R.K. Puram More Khagual Road, Khagual Road",Patna,Bihar,801503
131,New B.K. Hospital,"Purani Gandak Pull Road, Jauhari Bazar, Vaishali, Hajipur (Vaishali)",Hajipur,Bihar,844101
132,Minakshi Multispeciality Hospital,"Main Road Brahmpura, Nilkanth Chowk, Muzaffarpur, Opp. Zenith Petrol Pump, P.O.-M.I.T",Muzaffarpur,Bihar,842003
133,Nalanda Bone And Spine Centre Pvt. Ltd - Nalanda,"Nh20. Patna Road., Bihar Sarif, Nalanda",Nalanda,Bihar,803118
134,Shyam Hospital - Kailashpuri,"90 Ft Road, Kailashpuri",Patna,Bihar,800020
135,"Buddha Eye Care And Laser
Center","Gola Road, Bailey Road, Bailey Road",Patna,Bihar,801503
136,Kaushalaya Eye Research Institute,"Sukhraj Raipath, Katalbari, Bhagalpur, Pin-812001",Bhagalpur,Bihar,812001
137,Mamta Mother And Child Hospital Private Limited,Kashitakia Govt Bus Stand ;Govt Bus Stand;,Biharsharif,Bihar,803101
138,Swami Vivekananda Cancer Hospital,"Mabbi, Darbhanga ;Darbhanga;, Darbhanga",Darbhanga,Bihar,846005
139,Kalda Cosmetic Surgery Institute & Burn Centre,"Opp Rkc Gate Ge Road Choubey Colony,",Raipur,Chhattisgarh,492001
140,Sanjeevani Hospital & Research Centre,"Ware House Road, Near Sindhi Colony., Near Indir Colony",Bilaspur,Chhattisgarh,495001
141,Chattisgarh Hospital Medical Research,"Central Avenue, Choubey Colony.",Raipur,Chhattisgarh,492001
142,Aarogya Hospital - Raipur,"Opp. Gold'S Gym, Shankar Nagar",Raipur,Chhattisgarh,492001
143,Ramkrishna Care Medical Sciences Pvt Ltd,"Aurbindo Enclave, Pachpedhi Naka, Dhamtri Road, National Highway No 43, Raipur",Raipur,Chhattisgarh,492001
144,Suyash Hospital - Raipur,"Kota Gudhiyari Road, Mahoba Bazaar, Behind Hotel Piccadily, Behind Hotel Piccadily",Raipur,Chhattisgarh,492001
145,Sai Baba Eye Hospital-Raipur,"Fafadih Chowk, Near Chhoti Line Railway, Crossing",Raipur,Chhattisgarh,492001
146,New Korba Hospital,"Plot No 9, Kosabadi, Main Road, Korba",Korba,Chhattisgarh,495677
147,Shri Krishna Netralaya,"Near Cmd College Ground, Link Road",Bilaspur,Chhattisgarh,495001
148,Shri Medishine Hospital - Raipur,"New Rajendra Nagar, Amlidih, Raipur",Raipur,Chhattisgarh,492015
149,Shriram Care Hospital,"Ameri Road, Neharu Nagar Opp. Cseb Office",Bilaspur,Chhattisgarh,495001
